llm_model,model_family,param_count,prompt_id,prompt_technique,prompt_sub_technique,question_columns,provider,validated,task_id,file_name,f1_macro,f1_micro,f1_weighted,accuracy,invalid_rate,file_name_complete
llama-3.1-nemotron-253b,LLaMA,253.0,03,fs,base-9-shot,IQ,nebius,VALIDATED,t1,llama-3.1-nemotron-253b_03_t1_fs_base-9-shot_IQ_nebius_VALIDATED,0.2968378407877401,0.2727272727272727,0.30555221459301724,0.2727272727272727,0.0,llama-3.1-nemotron-253b_03_t1_fs_base-9-shot_IQ_nebius_VALIDATED.csv
gpt-5,GPT,,02,fs,base-3-shot,Q,openai,VALIDATED,t1,gpt-5_02_t1_fs_base-3-shot_Q_openai_VALIDATED,0.6269217538567383,0.6688311688311688,0.6823922060543025,0.6688311688311688,0.003246753246753247,gpt-5_02_t1_fs_base-3-shot_Q_openai_VALIDATED.csv
qwen3-235b-instruct,Qwen,235.0,06,cot,cot-base,IQ,nebius,VALIDATED,t1,qwen3-235b-instruct_06_t1_cot_cot-base_IQ_nebius_VALIDATED,0.6041314495962179,0.711038961038961,0.6927516260027813,0.711038961038961,0.0,qwen3-235b-instruct_06_t1_cot_cot-base_IQ_nebius_VALIDATED.csv
llama-3.1-nemotron-253b,LLaMA,253.0,06,cot,cot-base,IQ,nebius,VALIDATED,t1,llama-3.1-nemotron-253b_06_t1_cot_cot-base_IQ_nebius_VALIDATED,0.24094835661284875,0.19480519480519481,0.19679396974301003,0.19480519480519481,0.0,llama-3.1-nemotron-253b_06_t1_cot_cot-base_IQ_nebius_VALIDATED.csv
mixtral-8x22b-Instruct,Mixtral,176.0,06,cot,cot-base,IQ,nscale,VALIDATED,t1,mixtral-8x22b-Instruct_06_t1_cot_cot-base_IQ_nscale_VALIDATED,0.5448242854371306,0.6558441558441559,0.6575072052303814,0.6558441558441559,0.0,mixtral-8x22b-Instruct_06_t1_cot_cot-base_IQ_nscale_VALIDATED.csv
llama-3.3-70b-Instruct,LLaMA,70.0,06,cot,cot-base,IQ,nebius,VALIDATED,t1,llama-3.3-70b-Instruct_06_t1_cot_cot-base_IQ_nebius_VALIDATED,0.49932072156019974,0.6071428571428571,0.6056734690451107,0.6071428571428571,0.0,llama-3.3-70b-Instruct_06_t1_cot_cot-base_IQ_nebius_VALIDATED.csv
llama-3.3-70b-Instruct,LLaMA,70.0,01,zs,re2,IQ,nebius,VALIDATED,t1,llama-3.3-70b-Instruct_01_t1_zs_re2_IQ_nebius_VALIDATED,0.53799338126554,0.6461038961038961,0.6352083537174924,0.6461038961038961,0.0,llama-3.3-70b-Instruct_01_t1_zs_re2_IQ_nebius_VALIDATED.csv
mixtral-8x22b-Instruct,Mixtral,176.0,03,fs,base-9-shot,Q,nscale,VALIDATED,t1,mixtral-8x22b-Instruct_03_t1_fs_base-9-shot_Q_nscale_VALIDATED,0.42349085318747876,0.4675324675324675,0.5214455207928254,0.4675324675324675,0.0,mixtral-8x22b-Instruct_03_t1_fs_base-9-shot_Q_nscale_VALIDATED.csv
llama-3.3-70b-Instruct,LLaMA,70.0,03,fs,base-9-shot,Q,nebius,VALIDATED,t1,llama-3.3-70b-Instruct_03_t1_fs_base-9-shot_Q_nebius_VALIDATED,0.523497602285481,0.6298701298701299,0.635529239661471,0.6298701298701299,0.0,llama-3.3-70b-Instruct_03_t1_fs_base-9-shot_Q_nebius_VALIDATED.csv
qwen3-235b-instruct,Qwen,235.0,02,fs,base-3-shot,Q,nebius,VALIDATED,t1,qwen3-235b-instruct_02_t1_fs_base-3-shot_Q_nebius_VALIDATED,0.5883553920696523,0.6948051948051948,0.6826259532122326,0.6948051948051948,0.0,qwen3-235b-instruct_02_t1_fs_base-3-shot_Q_nebius_VALIDATED.csv
qwen3-80b-instruct,Qwen,80.0,04,fs,base-27-shot,IQ,novita,VALIDATED,t1,qwen3-80b-instruct_04_t1_fs_base-27-shot_IQ_novita_VALIDATED,0.571865345788027,0.6201298701298701,0.6364535244912717,0.6201298701298701,0.0,qwen3-80b-instruct_04_t1_fs_base-27-shot_IQ_novita_VALIDATED.csv
llama-3.1-nemotron-253b,LLaMA,253.0,03,fs,base-9-shot,Q,nebius,VALIDATED,t1,llama-3.1-nemotron-253b_03_t1_fs_base-9-shot_Q_nebius_VALIDATED,0.29803179034238686,0.2922077922077922,0.33774817013067254,0.2922077922077922,0.0,llama-3.1-nemotron-253b_03_t1_fs_base-9-shot_Q_nebius_VALIDATED.csv
mixtral-8x22b-Instruct,Mixtral,176.0,01,zs,re2,Q,nscale,VALIDATED,t1,mixtral-8x22b-Instruct_01_t1_zs_re2_Q_nscale_VALIDATED,0.4456831519793272,0.6688311688311688,0.6042881220959958,0.6688311688311688,0.0,mixtral-8x22b-Instruct_01_t1_zs_re2_Q_nscale_VALIDATED.csv
qwen3-80b-instruct,Qwen,80.0,06,cot,cot-base,Q,novita,VALIDATED,t1,qwen3-80b-instruct_06_t1_cot_cot-base_Q_novita_VALIDATED,0.4699380291524832,0.5909090909090909,0.5920800304696612,0.5909090909090909,0.0,qwen3-80b-instruct_06_t1_cot_cot-base_Q_novita_VALIDATED.csv
qwen3-80b-instruct,Qwen,80.0,06,cot,cot-base,IQ,novita,VALIDATED,t1,qwen3-80b-instruct_06_t1_cot_cot-base_IQ_novita_VALIDATED,0.5077518339595634,0.6168831168831169,0.6238861614767411,0.6168831168831169,0.0,qwen3-80b-instruct_06_t1_cot_cot-base_IQ_novita_VALIDATED.csv
qwen3-80b-instruct,Qwen,80.0,03,fs,base-9-shot,IQ,novita,VALIDATED,t1,qwen3-80b-instruct_03_t1_fs_base-9-shot_IQ_novita_VALIDATED,0.6166785527504398,0.6753246753246753,0.6860205762002939,0.6753246753246753,0.0,qwen3-80b-instruct_03_t1_fs_base-9-shot_IQ_novita_VALIDATED.csv
gpt-5,GPT,,01,zs,re2,IQ,openai,VALIDATED,t1,gpt-5_01_t1_zs_re2_IQ_openai_VALIDATED,0.630730218656599,0.685064935064935,0.6977741767435018,0.685064935064935,0.0,gpt-5_01_t1_zs_re2_IQ_openai_VALIDATED.csv
gpt-5,GPT,,02,fs,base-3-shot,IQ,openai,VALIDATED,t1,gpt-5_02_t1_fs_base-3-shot_IQ_openai_VALIDATED,0.632453442012013,0.6753246753246753,0.6859383092548437,0.6753246753246753,0.0,gpt-5_02_t1_fs_base-3-shot_IQ_openai_VALIDATED.csv
qwen3-80b-instruct,Qwen,80.0,02,fs,base-3-shot,Q,novita,VALIDATED,t1,qwen3-80b-instruct_02_t1_fs_base-3-shot_Q_novita_VALIDATED,0.545087680680901,0.6558441558441559,0.6546442221656837,0.6558441558441559,0.0,qwen3-80b-instruct_02_t1_fs_base-3-shot_Q_novita_VALIDATED.csv
llama-3.3-70b-Instruct,LLaMA,70.0,02,fs,base-3-shot,IQ,nebius,VALIDATED,t1,llama-3.3-70b-Instruct_02_t1_fs_base-3-shot_IQ_nebius_VALIDATED,0.5893767089512351,0.698051948051948,0.6802119960433243,0.698051948051948,0.0,llama-3.3-70b-Instruct_02_t1_fs_base-3-shot_IQ_nebius_VALIDATED.csv
qwen3-32b-instruct,Qwen,32.0,03,fs,base-9-shot,Q,nebius,VALIDATED,t1,qwen3-32b-instruct_03_t1_fs_base-9-shot_Q_nebius_VALIDATED,0.4959565307604524,0.6785714285714286,0.643977868925348,0.6785714285714286,0.0,qwen3-32b-instruct_03_t1_fs_base-9-shot_Q_nebius_VALIDATED.csv
mixtral-8x22b-Instruct,Mixtral,176.0,04,fs,base-27-shot,IQ,nscale,VALIDATED,t1,mixtral-8x22b-Instruct_04_t1_fs_base-27-shot_IQ_nscale_VALIDATED,0.5418461051138571,0.6006493506493507,0.613330926387589,0.6006493506493507,0.0,mixtral-8x22b-Instruct_04_t1_fs_base-27-shot_IQ_nscale_VALIDATED.csv
qwen3-235b-instruct,Qwen,235.0,01,zs,re2,Q,nebius,VALIDATED,t1,qwen3-235b-instruct_01_t1_zs_re2_Q_nebius_VALIDATED,0.5268874803357562,0.6688311688311688,0.6446064627267044,0.6688311688311688,0.0,qwen3-235b-instruct_01_t1_zs_re2_Q_nebius_VALIDATED.csv
qwen3-32b-instruct,Qwen,32.0,02,fs,base-3-shot,IQ,nebius,VALIDATED,t1,qwen3-32b-instruct_02_t1_fs_base-3-shot_IQ_nebius_VALIDATED,0.520945084069614,0.6915584415584416,0.6643692792290622,0.6915584415584416,0.0,qwen3-32b-instruct_02_t1_fs_base-3-shot_IQ_nebius_VALIDATED.csv
mixtral-8x22b-Instruct,Mixtral,176.0,01,zs,re2,IQ,nscale,VALIDATED,t1,mixtral-8x22b-Instruct_01_t1_zs_re2_IQ_nscale_VALIDATED,0.5845772458675684,0.7175324675324676,0.6980294744224362,0.7175324675324676,0.0,mixtral-8x22b-Instruct_01_t1_zs_re2_IQ_nscale_VALIDATED.csv
qwen3-235b-instruct,Qwen,235.0,01,zs,re2,IQ,nebius,VALIDATED,t1,qwen3-235b-instruct_01_t1_zs_re2_IQ_nebius_VALIDATED,0.5666532387760009,0.6883116883116883,0.6605428185260117,0.6883116883116883,0.0,qwen3-235b-instruct_01_t1_zs_re2_IQ_nebius_VALIDATED.csv
qwen3-32b-instruct,Qwen,32.0,00,zs,base,Q,nebius,VALIDATED,t1,qwen3-32b-instruct_00_t1_zs_base_Q_nebius_VALIDATED,0.47669035294034634,0.6590909090909091,0.6447500707399159,0.6590909090909091,0.0,qwen3-32b-instruct_00_t1_zs_base_Q_nebius_VALIDATED.csv
llama-3.1-nemotron-253b,LLaMA,253.0,01,zs,re2,IQ,nebius,VALIDATED,t1,llama-3.1-nemotron-253b_01_t1_zs_re2_IQ_nebius_VALIDATED,0.32360410830999065,0.3344155844155844,0.3789663137982465,0.3344155844155844,0.0,llama-3.1-nemotron-253b_01_t1_zs_re2_IQ_nebius_VALIDATED.csv
llama-3.1-nemotron-253b,LLaMA,253.0,04,fs,base-27-shot,Q,nebius,VALIDATED,t1,llama-3.1-nemotron-253b_04_t1_fs_base-27-shot_Q_nebius_VALIDATED,0.39908397337429596,0.45454545454545453,0.4935503521056516,0.45454545454545453,0.0,llama-3.1-nemotron-253b_04_t1_fs_base-27-shot_Q_nebius_VALIDATED.csv
mixtral-8x22b-Instruct,Mixtral,176.0,02,fs,base-3-shot,IQ,nscale,VALIDATED,t1,mixtral-8x22b-Instruct_02_t1_fs_base-3-shot_IQ_nscale_VALIDATED,0.57116634435077,0.698051948051948,0.6868791558906527,0.698051948051948,0.0,mixtral-8x22b-Instruct_02_t1_fs_base-3-shot_IQ_nscale_VALIDATED.csv
qwen3-80b-instruct,Qwen,80.0,00,zs,base,Q,novita,VALIDATED,t1,qwen3-80b-instruct_00_t1_zs_base_Q_novita_VALIDATED,0.4386404366243076,0.5584415584415584,0.5691936515341941,0.5584415584415584,0.0,qwen3-80b-instruct_00_t1_zs_base_Q_novita_VALIDATED.csv
qwen3-80b-instruct,Qwen,80.0,04,fs,base-27-shot,Q,novita,VALIDATED,t1,qwen3-80b-instruct_04_t1_fs_base-27-shot_Q_novita_VALIDATED,0.5262581089071937,0.5746753246753247,0.5932988586129115,0.5746753246753247,0.0,qwen3-80b-instruct_04_t1_fs_base-27-shot_Q_novita_VALIDATED.csv
gpt-5,GPT,,04,fs,base-27-shot,IQ,openai,VALIDATED,t1,gpt-5_04_t1_fs_base-27-shot_IQ_openai_VALIDATED,0.6435938725793798,0.6818181818181818,0.6934879934879935,0.6818181818181818,0.003246753246753247,gpt-5_04_t1_fs_base-27-shot_IQ_openai_VALIDATED.csv
llama-3.1-nemotron-253b,LLaMA,253.0,01,zs,re2,Q,nebius,VALIDATED,t1,llama-3.1-nemotron-253b_01_t1_zs_re2_Q_nebius_VALIDATED,0.343282383003426,0.3344155844155844,0.39067287573958287,0.3344155844155844,0.0,llama-3.1-nemotron-253b_01_t1_zs_re2_Q_nebius_VALIDATED.csv
qwen3-235b-instruct,Qwen,235.0,02,fs,base-3-shot,IQ,nebius,VALIDATED,t1,qwen3-235b-instruct_02_t1_fs_base-3-shot_IQ_nebius_VALIDATED,0.6007488679902473,0.711038961038961,0.6909786399598311,0.711038961038961,0.0,qwen3-235b-instruct_02_t1_fs_base-3-shot_IQ_nebius_VALIDATED.csv
qwen3-32b-instruct,Qwen,32.0,06,cot,cot-base,IQ,nebius,VALIDATED,t1,qwen3-32b-instruct_06_t1_cot_cot-base_IQ_nebius_VALIDATED,0.5171508435659379,0.6623376623376623,0.6564600568643696,0.6623376623376623,0.0,qwen3-32b-instruct_06_t1_cot_cot-base_IQ_nebius_VALIDATED.csv
gpt-5,GPT,,06,cot,cot-base,Q,openai,VALIDATED,t1,gpt-5_06_t1_cot_cot-base_Q_openai_VALIDATED,0.6013790489922867,0.6590909090909091,0.6750081791155176,0.6590909090909091,0.003246753246753247,gpt-5_06_t1_cot_cot-base_Q_openai_VALIDATED.csv
qwen3-235b-instruct,Qwen,235.0,04,fs,base-27-shot,Q,nebius,VALIDATED,t1,qwen3-235b-instruct_04_t1_fs_base-27-shot_Q_nebius_VALIDATED,0.616396682113033,0.6785714285714286,0.6802087242437559,0.6785714285714286,0.0,qwen3-235b-instruct_04_t1_fs_base-27-shot_Q_nebius_VALIDATED.csv
qwen3-80b-instruct,Qwen,80.0,01,zs,re2,Q,novita,VALIDATED,t1,qwen3-80b-instruct_01_t1_zs_re2_Q_novita_VALIDATED,0.4819657840252806,0.6590909090909091,0.6182878497768984,0.6590909090909091,0.0,qwen3-80b-instruct_01_t1_zs_re2_Q_novita_VALIDATED.csv
gpt-5,GPT,,03,fs,base-9-shot,Q,openai,VALIDATED,t1,gpt-5_03_t1_fs_base-9-shot_Q_openai_VALIDATED,0.6050246712650805,0.6428571428571429,0.6567084721060541,0.6428571428571429,0.0,gpt-5_03_t1_fs_base-9-shot_Q_openai_VALIDATED.csv
qwen3-80b-instruct,Qwen,80.0,02,fs,base-3-shot,IQ,novita,VALIDATED,t1,qwen3-80b-instruct_02_t1_fs_base-3-shot_IQ_novita_VALIDATED,0.6478016888975793,0.7272727272727273,0.7306220576990902,0.7272727272727273,0.0,qwen3-80b-instruct_02_t1_fs_base-3-shot_IQ_novita_VALIDATED.csv
llama-3.1-nemotron-253b,LLaMA,253.0,06,cot,cot-base,Q,nebius,VALIDATED,t1,llama-3.1-nemotron-253b_06_t1_cot_cot-base_Q_nebius_VALIDATED,0.25030228269829546,0.21753246753246752,0.24466665232087512,0.21753246753246752,0.0,llama-3.1-nemotron-253b_06_t1_cot_cot-base_Q_nebius_VALIDATED.csv
qwen3-80b-instruct,Qwen,80.0,01,zs,re2,IQ,novita,VALIDATED,t1,qwen3-80b-instruct_01_t1_zs_re2_IQ_novita_VALIDATED,0.543423302438559,0.6818181818181818,0.657677160091961,0.6818181818181818,0.0,qwen3-80b-instruct_01_t1_zs_re2_IQ_novita_VALIDATED.csv
qwen3-32b-instruct,Qwen,32.0,04,fs,base-27-shot,Q,nebius,VALIDATED,t1,qwen3-32b-instruct_04_t1_fs_base-27-shot_Q_nebius_VALIDATED,0.5377688793059192,0.6915584415584416,0.6653782995073615,0.6915584415584416,0.0,qwen3-32b-instruct_04_t1_fs_base-27-shot_Q_nebius_VALIDATED.csv
qwen3-32b-instruct,Qwen,32.0,01,zs,re2,IQ,nebius,VALIDATED,t1,qwen3-32b-instruct_01_t1_zs_re2_IQ_nebius_VALIDATED,0.5079189277801299,0.6688311688311688,0.6553834468002574,0.6688311688311688,0.0,qwen3-32b-instruct_01_t1_zs_re2_IQ_nebius_VALIDATED.csv
llama-3.1-nemotron-253b,LLaMA,253.0,00,zs,base,Q,nebius,VALIDATED,t1,llama-3.1-nemotron-253b_00_t1_zs_base_Q_nebius_VALIDATED,0.2695770131952152,0.2435064935064935,0.278124354372967,0.2435064935064935,0.0,llama-3.1-nemotron-253b_00_t1_zs_base_Q_nebius_VALIDATED.csv
qwen3-235b-instruct,Qwen,235.0,00,zs,base,Q,nebius,VALIDATED,t1,qwen3-235b-instruct_00_t1_zs_base_Q_nebius_VALIDATED,0.5441991738126646,0.672077922077922,0.6508931792783959,0.672077922077922,0.0,qwen3-235b-instruct_00_t1_zs_base_Q_nebius_VALIDATED.csv
llama-3.3-70b-Instruct,LLaMA,70.0,01,zs,re2,Q,nebius,VALIDATED,t1,llama-3.3-70b-Instruct_01_t1_zs_re2_Q_nebius_VALIDATED,0.4658407247433003,0.6071428571428571,0.5917418350149112,0.6071428571428571,0.0,llama-3.3-70b-Instruct_01_t1_zs_re2_Q_nebius_VALIDATED.csv
mixtral-8x22b-Instruct,Mixtral,176.0,00,zs,base,Q,nscale,VALIDATED,t1,mixtral-8x22b-Instruct_00_t1_zs_base_Q_nscale_VALIDATED,0.4399622126846831,0.6266233766233766,0.5887241269561704,0.6266233766233766,0.0,mixtral-8x22b-Instruct_00_t1_zs_base_Q_nscale_VALIDATED.csv
mixtral-8x22b-Instruct,Mixtral,176.0,04,fs,base-27-shot,Q,nscale,VALIDATED,t1,mixtral-8x22b-Instruct_04_t1_fs_base-27-shot_Q_nscale_VALIDATED,0.5308967348441033,0.5844155844155844,0.6010580542150945,0.5844155844155844,0.0,mixtral-8x22b-Instruct_04_t1_fs_base-27-shot_Q_nscale_VALIDATED.csv
qwen3-32b-instruct,Qwen,32.0,04,fs,base-27-shot,IQ,nebius,VALIDATED,t1,qwen3-32b-instruct_04_t1_fs_base-27-shot_IQ_nebius_VALIDATED,0.5810146667810275,0.7142857142857143,0.6969846186492126,0.7142857142857143,0.0,qwen3-32b-instruct_04_t1_fs_base-27-shot_IQ_nebius_VALIDATED.csv
llama-3.1-nemotron-253b,LLaMA,253.0,02,fs,base-3-shot,IQ,nebius,VALIDATED,t1,llama-3.1-nemotron-253b_02_t1_fs_base-3-shot_IQ_nebius_VALIDATED,0.28807522846455796,0.25,0.22546380800165944,0.25,0.0,llama-3.1-nemotron-253b_02_t1_fs_base-3-shot_IQ_nebius_VALIDATED.csv
llama-3.1-nemotron-253b,LLaMA,253.0,02,fs,base-3-shot,Q,nebius,VALIDATED,t1,llama-3.1-nemotron-253b_02_t1_fs_base-3-shot_Q_nebius_VALIDATED,0.31915170439760604,0.3051948051948052,0.35151142973465177,0.3051948051948052,0.0,llama-3.1-nemotron-253b_02_t1_fs_base-3-shot_Q_nebius_VALIDATED.csv
