index,clarity_label,qwen3-235b-instruct_04_t1_fs_base-27-shot_IQ_nebius_VALIDATED__predicted_label,mixtral-8x22b-Instruct_01_t1_zs_re2_IQ_nscale_VALIDATED__predicted_label,llama-3.1-405b-Instruct_02_t1_fs_base-3-shot_Q_nebius_VALIDATED__predicted_label,gpt-5_01_t1_zs_re2_Q_openai_VALIDATED__predicted_label,model_prediction
0,Ambivalent,Ambivalent,Ambivalent,Clear Non-Reply,Ambivalent,Ambivalent
1,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent
2,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent
3,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent
4,Ambivalent,Ambivalent,Clear Non-Reply,Clear Non-Reply,Ambivalent,Ambivalent
5,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent
6,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent
7,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent
8,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent
9,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent
10,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Clear Reply,Ambivalent
11,Clear Reply,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent
12,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Clear Reply,Ambivalent
13,Clear Reply,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent
14,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Clear Reply,Ambivalent
15,Clear Reply,Clear Reply,Clear Reply,Ambivalent,Clear Reply,Clear Reply
16,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent
17,Ambivalent,Clear Reply,Clear Non-Reply,Clear Non-Reply,Clear Reply,Ambivalent
18,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent
19,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Clear Reply,Ambivalent
20,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent
21,Clear Reply,Clear Reply,Clear Reply,Ambivalent,Clear Reply,Clear Reply
22,Ambivalent,Clear Reply,Ambivalent,Ambivalent,Ambivalent,Ambivalent
23,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent
24,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Clear Reply,Ambivalent
25,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent
26,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent
27,Ambivalent,Ambivalent,Clear Non-Reply,Ambivalent,Clear Non-Reply,Ambivalent
28,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent
29,Clear Non-Reply,Ambivalent,Clear Non-Reply,Ambivalent,Clear Non-Reply,Ambivalent
30,Clear Reply,Clear Reply,Clear Reply,Ambivalent,Ambivalent,Ambivalent
31,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent
32,Clear Non-Reply,Clear Non-Reply,Clear Non-Reply,Clear Non-Reply,Clear Non-Reply,Clear Non-Reply
33,Ambivalent,Ambivalent,Clear Non-Reply,Ambivalent,Clear Non-Reply,Ambivalent
34,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent
35,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Clear Non-Reply,Ambivalent
36,Clear Reply,Clear Reply,Clear Reply,Clear Non-Reply,Ambivalent,Clear Reply
37,Ambivalent,Clear Reply,Ambivalent,Ambivalent,Clear Reply,Ambivalent
38,Ambivalent,Clear Reply,Ambivalent,Ambivalent,Clear Reply,Ambivalent
39,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent
40,Ambivalent,Ambivalent,Ambivalent,Clear Non-Reply,Clear Non-Reply,Ambivalent
41,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent
42,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent
43,Ambivalent,Ambivalent,Ambivalent,Clear Non-Reply,Ambivalent,Ambivalent
44,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent
45,Ambivalent,Clear Reply,Ambivalent,Ambivalent,Ambivalent,Ambivalent
46,Clear Reply,Clear Reply,Clear Reply,Ambivalent,Clear Reply,Clear Reply
47,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent
48,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent
49,Clear Non-Reply,Ambivalent,Ambivalent,Ambivalent,Clear Non-Reply,Ambivalent
50,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent
51,Clear Reply,Clear Reply,Ambivalent,Ambivalent,Ambivalent,Ambivalent
52,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent
53,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Clear Non-Reply,Ambivalent
54,Clear Reply,Clear Reply,Ambivalent,Ambivalent,Ambivalent,Ambivalent
55,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent,Ambivalent
56,Clear Non-Reply,Clear Non-Reply,Clear Non-Reply,Clear Non-Reply,Ambivalent,Clear Non-Reply
57,Ambivalent,Ambivalent,Ambivalent,Clear Non-Reply,Clear Non-Reply,Ambivalent
58,Clear Reply,Clear Reply,Ambivalent,Ambivalent,Clear Reply,Ambivalent
